id;insee;zip;name;slug;latitude;longitude;departments_id;departments_code;departments_name;departments_slug;regions_id;code;regions_name;regions_slug
10789;2A001          ;20167          ;Afa                     ;afa                     ;41.984764060606;8.7976021212121;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10790;2A004          ;20000          ;Ajaccio                 ;ajaccio                 ;41.9184889     ;8.6710603      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10791;2A004          ;20090          ;Ajaccio                 ;ajaccio                 ;41.9393447     ;8.7205877      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10792;2A004          ;20167          ;Ajaccio                 ;ajaccio                 ;41.9961268     ;8.8142264      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10793;2A006          ;20167          ;Alata                   ;alata                   ;41.969626607143;8.7323204761905;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10794;2A008          ;20128          ;Albitreccia             ;albitreccia             ;41.8587106     ;8.9355737      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10795;2A008          ;20166          ;Albitreccia             ;albitreccia             ;41.8295314     ;8.8032042      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10796;2A011          ;20112          ;Altagène                ;altagene                ;41.708497211538;9.0702525      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10797;2A014          ;20151          ;Ambiegna                ;ambiegna                ;42.087635298507;8.7731617164179;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10798;2A017          ;20167          ;Appietto                ;appietto                ;41.999386102236;8.73972514377  ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10799;2A018          ;20110          ;Arbellara               ;arbellara               ;41.672327354839;8.9874358709677;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10800;2A019          ;20160          ;Arbori                  ;arbori                  ;42.121649953704;8.7930940740741;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10801;2A021          ;20140          ;Argiusta-Moriccio       ;argiusta moriccio       ;41.816449649123;9.0285892105263;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10802;2A022          ;20151          ;Arro                    ;arro                    ;42.097513661972;8.8008548591549;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10803;2A024          ;20116          ;Aullène                 ;aullene                 ;41.809982294372;9.096684025974 ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10804;2A026          ;20190          ;Azilone-Ampaza          ;azilone ampaza          ;41.869982123894;9.0160907079646;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10805;2A027          ;20121          ;Azzana                  ;azzana                  ;42.11963248366 ;8.9301766666667;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10806;2A028          ;20160          ;Balogna                 ;balogna                 ;42.185294968153;8.7578279617834;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10807;2A031          ;20119          ;Bastelica               ;bastelica               ;41.981890542763;9.0441373026316;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10808;2A032          ;20129          ;Bastelicaccia           ;bastelicaccia           ;41.930641785714;8.831075       ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10809;2A035          ;20110          ;Belvédère-Campomoro     ;belvedere campomoro     ;41.619489469809;8.81028179676  ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10810;2A038          ;20100          ;Bilia                   ;bilia                   ;41.622974473684;8.9044594736842;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10811;2A040          ;20136          ;Bocognano               ;bocognano               ;42.081431342593;9.0675005092593;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10812;2A041          ;20169          ;Bonifacio               ;bonifacio               ;41.403212383527;9.2043748044925;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10813;2A048          ;20111          ;Calcatoggio             ;calcatoggio             ;42.027776797583;8.7206910876133;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10814;2A056          ;20142          ;Campo                   ;campo                   ;41.889676166667;9.0029135      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10815;2A060          ;20151          ;Cannelle                ;cannelle                ;42.049780932203;8.8116962711865;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10816;2A061          ;20170          ;Carbini                 ;carbini                 ;41.675973111111;9.148916       ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10817;2A062          ;20133          ;Carbuccia               ;carbuccia               ;42.030773918919;8.9329845945946;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10818;2A064          ;20190          ;Cardo-Torgia            ;cardo torgia            ;41.852834576271;8.9722977118644;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10819;2A065          ;20130          ;Cargèse                 ;cargese                 ;42.153250150538;8.6081968602151;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10820;2A066          ;20164          ;Cargiaca                ;cargiaca                ;41.727851969697;9.0417120454546;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10821;2A070          ;20111          ;Casaglione              ;casaglione              ;42.068385260663;8.7594210900474;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10822;2A071          ;20140          ;Casalabriva             ;casalabriva             ;41.759313722222;8.9163140555556;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10823;2A085          ;20117          ;Cauro                   ;cauro                   ;41.90477381323 ;8.8850423346304;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10824;2A089          ;20134          ;Ciamannacce             ;ciamannacce             ;41.968656126126;9.1359238288288;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10825;2A090          ;20118          ;Coggia                  ;coggia                  ;42.1099758     ;8.7068269      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10826;2A090          ;20160          ;Coggia                  ;coggia                  ;42.1101189     ;8.7371039      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10827;2A091          ;20123          ;Cognocoli-Monticchi     ;cognocoli monticchi     ;41.828546      ;8.906139       ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10828;2A091          ;20166          ;Cognocoli-Monticchi     ;cognocoli monticchi     ;41.8295314     ;8.8032042      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10829;2A092          ;20135          ;Conca                   ;conca                   ;41.746160650685;9.3607993150685;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10830;2A094          ;20168          ;Corrano                 ;corrano                 ;41.883039788732;9.065940915493 ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10831;2A098          ;20138          ;Coti-Chiavari           ;coti chiavari           ;41.767216497623;8.7320983042789;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10832;2A099          ;20148          ;Cozzano                 ;cozzano                 ;41.932509457364;9.1819559689923;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10833;2A100          ;20126          ;Cristinacce             ;cristinacce             ;42.243952307692;8.8520926153846;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10834;2A103          ;20167          ;Cuttoli-Corticchiato    ;cuttoli corticchiato    ;41.977704278607;8.8844070149254;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10835;2A104          ;20117          ;Eccica-Suarella         ;eccica suarella         ;41.922593592233;8.898120631068 ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10836;2A108          ;20126          ;Évisa                   ;evisa                   ;42.285619487179;8.8157691346154;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10837;2A114          ;20114          ;Figari                  ;figari                  ;41.490758263773;9.1002068447412;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10838;2A115          ;20100          ;Foce                    ;foce                    ;41.624408128655;9.0416730409357;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10839;2A117          ;20190          ;Forciolo                ;forciolo                ;41.848257377049;9.0110893442623;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10840;2A118          ;20143          ;Fozzano                 ;fozzano                 ;41.696397854251;8.9867910526316;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10841;2A119          ;20157          ;Frasseto                ;frasseto                ;41.918476010101;9.0377217171717;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10842;2A127          ;20100          ;Giuncheto               ;giuncheto               ;41.586281929825;8.9550145614035;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10843;2A128          ;20100          ;Granace                 ;granace                 ;41.641142289157;9.0121161445783;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10844;2A129          ;20100          ;Grossa                  ;grossa                  ;41.600826787879;8.8585274545455;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10845;2A130          ;20128          ;Grosseto-Prugna         ;grosseto prugna         ;41.8587106     ;8.9355737      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10846;2A130          ;20166          ;Grosseto-Prugna         ;grosseto prugna         ;41.8295314     ;8.8032042      ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10847;2A131          ;20160          ;Guagno                  ;guagno                  ;42.174291833333;8.97461        ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10848;2A132          ;20128          ;Guargualé               ;guarguale               ;41.827090245399;8.9290809202454;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10849;2A133          ;20153          ;Guitera-les-Bains       ;guitera les bains       ;41.926080707965;9.0770982743363;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10850;2A139          ;20137          ;Lecci                   ;lecci                   ;41.648945173611;9.3197803819445;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10851;2A141          ;20160          ;Letia                   ;letia                   ;42.210316681818;8.8708739545455;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10852;2A142          ;20170          ;Levie                   ;levie                   ;41.666235585586;9.1132569369369;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10853;2A144          ;20139          ;Lopigna                 ;lopigna                 ;42.090337692308;8.8514092857143;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10854;2A146          ;20165          ;Loreto-di-Tallano       ;loreto di tallano       ;41.701173529412;9.0332331617647;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10855;2A154          ;20141          ;Marignana               ;marignana               ;42.213440813953;8.7259667732558;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10856;2A158          ;20112          ;Mela                    ;mela                    ;41.684358867925;9.0941021698113;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10857;2A160          ;20140          ;Moca-Croce              ;moca croce              ;41.790627179487;8.9990146153846;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10858;2A163          ;20171          ;Monacia-d'Aullène       ;monacia d aullene       ;41.508461726619;8.9956472901679;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10859;2A174          ;20160          ;Murzo                   ;murzo                   ;42.155108456376;8.8454140268456;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10860;2A181          ;20117          ;Ocana                   ;ocana                   ;41.950905      ;8.9103139247312;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10861;2A186          ;20140          ;Olivese                 ;olivese                 ;41.839979757576;9.0693527878788;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10862;2A189          ;20113          ;Olmeto                  ;olmeto                  ;41.711415537459;8.8960856351791;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10863;2A191          ;20112          ;Olmiccia                ;olmiccia                ;41.672000373832;9.0359715420561;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10864;2A196          ;20125          ;Orto                    ;orto                    ;42.194904709302;8.9537466860465;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10865;2A197          ;20147          ;Osani                   ;osani                   ;42.344722295455;8.5926530454545;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10866;2A198          ;20150          ;Ota                     ;ota                     ;42.256335806452;8.7310296313364;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10867;2A200          ;20134          ;Palneca                 ;palneca                 ;41.991675238095;9.1842661904762;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10868;2A203          ;20147          ;Partinello              ;partinello              ;42.313596428571;8.6867777678571;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10869;2A204          ;20121          ;Pastricciola            ;pastricciola            ;42.146258596491;9.0062097076023;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10870;2A209          ;20167          ;Peri                    ;peri                    ;42.002968151261;8.9009185294118;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10871;2A211          ;20140          ;Petreto-Bicchisano      ;petreto bicchisano      ;41.777799961089;8.9683752529183;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10872;2A212          ;20115          ;Piana                   ;piana                   ;42.228429234528;8.6028608794788;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10873;2A215          ;20131          ;Pianottoli-Caldarello   ;pianottoli caldarello   ;41.493054974705;9.0441329342327;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10874;2A228          ;20166          ;Pietrosella             ;pietrosella             ;41.834112142857;8.7998051714286;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10875;2A232          ;20123          ;Pila-Canale             ;pila canale             ;41.790409945946;8.8943363243243;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10876;2A240          ;20125          ;Poggiolo                ;poggiolo                ;42.176225      ;8.908917       ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10877;2A240          ;20160          ;Poggiolo                ;poggiolo                ;42.176225      ;8.908917       ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10878;2A247          ;20137          ;Porto-Vecchio           ;porto vecchio           ;41.566230466667;9.299950275    ;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10879;2A249          ;20110          ;Propriano               ;propriano               ;41.657131009615;8.8954650961538;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10880;2A253          ;20142          ;Quasquara               ;quasquara               ;41.910430447761;9.0073247761194;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10881;2A254          ;20122          ;Quenza                  ;quenza                  ;41.797713682796;9.1937723655914;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10882;2A258          ;20160          ;Renno                   ;renno                   ;42.203435      ;8.8182433333333;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
10883;2A259          ;20121          ;Rezza                   ;rezza                   ;42.127868230769;8.9516535384615;29;2A             ;Cor;cor;18;94             ;Corse               ;corse               
